"","id","n","correct","near","t","l","cond","csv"
"447",309,10,0,30,681,2,"uncued",10
"448",309,50,0,70,1205,2,"uncued",9
"449",309,20,0,70,759,2,"uncued",9
"450",309,10,0,30,839,2,"uncued",1
"451",309,20,0,70,823,2,"uncued",4
"452",309,40,1,30,663,2,"uncued",16
"453",309,10,1,30,495,2,"uncued",16
"454",309,40,0,30,782,2,"uncued",15
"455",309,30,0,30,30,2,"uncued",20
"456",309,40,1,70,79,2,"uncued",4
"457",309,30,1,70,798,2,"uncued",10
"458",309,20,0,70,157,2,"uncued",14
"459",309,10,1,30,334,2,"uncued",17
"460",309,40,0,30,141,2,"uncued",15
"461",309,50,0,30,459,2,"uncued",18
"462",309,20,0,70,78,2,"uncued",10
"463",309,30,1,30,702,2,"uncued",2
"464",309,50,1,70,2775,2,"uncued",5
"465",309,50,1,70,1083,2,"uncued",14
"466",309,10,1,30,421,2,"uncued",7
"467",309,20,1,30,892,2,"uncued",2
"468",309,10,1,70,946,2,"uncued",15
"469",309,10,1,70,1493,2,"uncued",6
"470",309,20,1,30,826,2,"uncued",6
"471",309,20,0,70,3384,2,"uncued",15
"472",309,40,0,30,1737,2,"uncued",3
"473",309,30,0,30,1101,2,"uncued",18
"474",309,40,1,30,1110,2,"uncued",9
"475",309,30,0,30,3693,2,"uncued",17
"476",309,20,0,70,2619,2,"uncued",19
"477",309,40,0,30,3463,2,"uncued",3
"478",309,40,0,70,15215,2,"uncued",1
"479",309,30,0,70,2734,2,"uncued",2
"480",309,50,1,30,77,2,"uncued",14
"481",309,50,0,30,2535,2,"uncued",5
"482",309,50,0,30,1227,2,"uncued",17
"483",309,20,1,70,396,2,"uncued",16
"484",309,50,1,70,1167,2,"uncued",5
"485",309,20,0,70,439,2,"uncued",14
"486",309,10,0,70,663,2,"uncued",10
"487",309,50,1,70,684,2,"uncued",6
"488",309,20,1,70,522,2,"uncued",6
"489",309,20,1,30,7293,2,"uncued",11
"490",309,50,0,30,373,2,"uncued",18
"491",309,20,0,30,1567,2,"uncued",8
"492",309,20,1,30,1429,2,"uncued",7
"493",309,40,0,70,668,2,"uncued",10
"494",309,10,1,70,64,2,"uncued",7
"495",309,30,0,70,734,2,"uncued",1
"496",309,10,0,70,1492,2,"uncued",4
"497",309,40,1,30,10159,2,"uncued",18
"498",309,10,0,30,2734,2,"uncued",8
"499",309,40,0,70,2768,2,"uncued",8
"500",309,30,0,30,3797,2,"uncued",2
"501",309,20,1,70,13022,2,"uncued",5
"502",309,20,1,70,1374,2,"uncued",16
"503",309,40,1,30,2293,2,"uncued",14
"504",309,40,1,70,5133,2,"uncued",20
"505",309,30,1,30,616,2,"uncued",13
"506",309,40,1,70,501,2,"uncued",4
"507",309,30,0,70,919,2,"uncued",12
"508",309,30,0,30,615,2,"uncued",20
"509",309,40,0,30,230,2,"uncued",14
"510",309,30,1,30,1944,2,"uncued",19
"511",309,50,0,70,1006,2,"uncued",10
"512",309,20,0,30,746,2,"uncued",13
"513",309,50,0,30,676,2,"uncued",13
"514",309,10,0,30,846,2,"uncued",3
"515",309,50,0,70,750,2,"uncued",3
"516",309,10,1,30,2597,2,"uncued",16
"517",309,30,0,70,3178,2,"uncued",8
"518",309,10,1,70,378,2,"uncued",13
"519",309,30,1,70,926,2,"uncued",3
"520",309,30,0,70,737,2,"uncued",7
"521",309,20,1,70,818,2,"uncued",13
"522",309,50,1,30,368,2,"uncued",5
"523",309,40,1,30,633,2,"uncued",20
"524",309,30,0,70,714,2,"uncued",19
"525",309,20,0,70,1895,2,"uncued",13
"526",309,30,0,70,30,2,"uncued",11
"527",309,40,0,30,959,2,"uncued",20
"528",309,40,0,30,17,2,"uncued",12
"529",309,20,1,70,224,2,"uncued",9
"530",309,50,1,30,759,2,"uncued",7
"531",309,20,1,70,1671,2,"uncued",15
